Private: False
Epoch 6 | Batch 2 | Batch Loss 0.3014896780252457 | Average Loss 2.037279746645247 | 469.7828737975996 ms/batch
Epoch 6 | Batch 3 | Batch Loss 0.29191523492336274 | Average Loss 1.9937544471010602 | 469.9584563771388 ms/batch
Epoch 6 | Batch 4 | Batch Loss 0.288349986076355 | Average Loss 1.952260421285374 | 469.8966541429506 ms/batch
Epoch 6 | Batch 5 | Batch Loss 0.2929044723510742 | Average Loss 1.9128457906693574 | 469.82250417496414 ms/batch
Epoch 7 | Batch 0 | Batch Loss 0.292127913236618 | Average Loss 1.8752421276198739 | 469.74349187864226 ms/batch
Epoch 7 | Batch 1 | Batch Loss 0.2803933650255203 | Average Loss 1.8390777565859884 | 469.72072692144485 ms/batch
Epoch 7 | Batch 2 | Batch Loss 0.28691585659980773 | Average Loss 1.80466174993441 | 469.625007286833 ms/batch
Epoch 7 | Batch 3 | Batch Loss 0.2847207963466644 | Average Loss 1.7716912303338082 | 469.624020789554 ms/batch
Epoch 7 | Batch 4 | Batch Loss 0.28893202245235444 | Average Loss 1.7402101431176416 | 469.5560805610284 ms/batch
Epoch 7 | Batch 5 | Batch Loss 0.28090896010398864 | Average Loss 1.7098712411838857 | 469.2972216933284 ms/batch
Epoch 8 | Batch 0 | Batch Loss 0.27602584958076476 | Average Loss 1.6806686873834147 | 469.6315699342312 ms/batch
Epoch 8 | Batch 1 | Batch Loss 0.2819253861904144 | Average Loss 1.6527496594154907 | 469.75667938262876 ms/batch
Epoch 8 | Batch 2 | Batch Loss 0.2745554506778717 | Average Loss 1.6257791269548718 | 469.7833355158976 ms/batch
Epoch 8 | Batch 3 | Batch Loss 0.27654300034046175 | Average Loss 1.5998820803787794 | 469.7104918979637 ms/batch
Epoch 8 | Batch 4 | Batch Loss 0.2810045123100281 | Average Loss 1.5750444613944339 | 469.62246023777965 ms/batch
Epoch 8 | Batch 5 | Batch Loss 0.26890664249658586 | Average Loss 1.5509014333186881 | 469.4501115301841 ms/batch
Epoch 9 | Batch 0 | Batch Loss 0.27149294018745423 | Average Loss 1.5276816784524225 | 469.42489160167327 ms/batch
Epoch 9 | Batch 1 | Batch Loss 0.2690465450286865 | Average Loss 1.5052461145767766 | 469.2527062115185 ms/batch
Epoch 9 | Batch 2 | Batch Loss 0.27175124287605285 | Average Loss 1.4836437525504942 | 469.35732143355335 ms/batch
Epoch 9 | Batch 3 | Batch Loss 0.2704912155866623 | Average Loss 1.4627633302275367 | 469.2985785807677 ms/batch
Epoch 9 | Batch 4 | Batch Loss 0.27628912329673766 | Average Loss 1.442687624526508 | 469.28265090722925 ms/batch
Epoch 9 | Batch 5 | Batch Loss 0.26823522299528124 | Average Loss 1.4231459872298153 | 469.38397721720617 ms/batch
